四则运算题目.0	456/410=
四则运算题目.340	861-964/763=
四则运算题目.341	273/925=
四则运算题目.342	925/760=
四则运算题目.343	10-334-669=
四则运算题目.344	542+535+329=
四则运算题目.345	606-418+393=
四则运算题目.346	130*304-372=
四则运算题目.347	865-423=
四则运算题目.348	115*227/724=
四则运算题目.349	262/290/846=
四则运算题目.350	271+272/617=
四则运算题目.351	792*349=
四则运算题目.352	942+533=
四则运算题目.353	626/376+160=
四则运算题目.354	201/70=
四则运算题目.355	309*111-245=
四则运算题目.356	575*529+393=
四则运算题目.357	216*10+927=
四则运算题目.358	670*203=
四则运算题目.359	251-65+282=
四则运算题目.360	723+585*869=
四则运算题目.361	40+563=
四则运算题目.362	791-859-567=
四则运算题目.363	387-617-94=
四则运算题目.364	753-608=
四则运算题目.365	363*237/901=
四则运算题目.366	185+933=
四则运算题目.367	725+578-979=
四则运算题目.368	374-549/553=
四则运算题目.369	809/384-814=
四则运算题目.370	6*175/621=
四则运算题目.371	97+740*956=
四则运算题目.372	769+504*337=
四则运算题目.373	209*64/218=
四则运算题目.374	751*800-326=
四则运算题目.375	921/738+940=
四则运算题目.376	965*860=
四则运算题目.377	363-8=
四则运算题目.378	657*350*145=
四则运算题目.379	207*573+289=
四则运算题目.380	879-115+357=
四则运算题目.381	887*105=
四则运算题目.382	709+346+901=
四则运算题目.383	392*530*2=
四则运算题目.384	323+439/487=
四则运算题目.385	981*625-43=
四则运算题目.386	461*1=
四则运算题目.387	732-776-633=
四则运算题目.388	125-565=
四则运算题目.389	793+346=
四则运算题目.390	782/576-590=
四则运算题目.391	657-155=
四则运算题目.392	773/511-775=
四则运算题目.393	358-172*154=
四则运算题目.394	792*953=
四则运算题目.395	741+95-877=
四则运算题目.396	185-89/358=
四则运算题目.397	715-109=
四则运算题目.398	628*708+465=
四则运算题目.399	13*880-51=
四则运算题目.400	477*761-893=
四则运算题目.401	297/721=
四则运算题目.402	237-80=
四则运算题目.403	902+470-883=
四则运算题目.404	133-788=
四则运算题目.405	263+886/672=
四则运算题目.406	105+831=
四则运算题目.407	297-183/133=
四则运算题目.408	640*338-86=
四则运算题目.409	184*684*460=
四则运算题目.410	753*370-276=
四则运算题目.411	46/606=
四则运算题目.412	749-357=
四则运算题目.413	513-203/908=
四则运算题目.414	10*762+187=
四则运算题目.415	947+771*979=
四则运算题目.416	262/852-637=
四则运算题目.417	603+585/989=
四则运算题目.418	577+70-695=
四则运算题目.419	887/507=
四则运算题目.420	316*400*236=
四则运算题目.421	640+73-482=
四则运算题目.422	146/580=
四则运算题目.423	775/421+902=
四则运算题目.424	679/877*855=
四则运算题目.425	165-143=
四则运算题目.426	952*496-470=
四则运算题目.427	294-408-445=
四则运算题目.428	442/474*843=
四则运算题目.429	913+183-208=
四则运算题目.430	291+935+810=
四则运算题目.431	248-802=
四则运算题目.432	432+507/986=
四则运算题目.433	184-527/722=
四则运算题目.434	396-723/128=
四则运算题目.435	621*990=
四则运算题目.436	719-178=
四则运算题目.437	645-606*392=
四则运算题目.438	567/152+21=
四则运算题目.439	1*350-506=
四则运算题目.440	605*827=
四则运算题目.441	529/44=
四则运算题目.442	429-717+884=
四则运算题目.443	177+48=
四则运算题目.444	330/911=
四则运算题目.445	556-542=
四则运算题目.446	145/407=
四则运算题目.447	623+458*728=
四则运算题目.448	269-143=
四则运算题目.449	384/288/302=
四则运算题目.450	162/705*993=
四则运算题目.451	570+283/372=
四则运算题目.452	764*246/708=
四则运算题目.453	31+702+718=
四则运算题目.454	374+591*821=
四则运算题目.455	778-760=
四则运算题目.456	672+394+945=
四则运算题目.457	624/832*925=
四则运算题目.458	151-65+460=
四则运算题目.459	585*464=
四则运算题目.460	113-690+740=
四则运算题目.461	900+354+451=
四则运算题目.462	785/523+154=
四则运算题目.463	182/248*319=
四则运算题目.464	613-349-14=
四则运算题目.465	700-541=
四则运算题目.466	300*682+622=
四则运算题目.467	124/52*941=
四则运算题目.468	446-470*913=
四则运算题目.469	307+814-104=
四则运算题目.470	809/53+289=
四则运算题目.471	469-542/312=
四则运算题目.472	463+449/141=
四则运算题目.473	202+606=
四则运算题目.474	861-962=
四则运算题目.475	198+347-586=
四则运算题目.476	734+101-976=
四则运算题目.477	398-407+216=
四则运算题目.478	21/859/512=
四则运算题目.479	386*294+723=
四则运算题目.480	923+985/364=
四则运算题目.481	959*772=
四则运算题目.482	250/845+840=
四则运算题目.483	734-381=
四则运算题目.484	565/319/47=
四则运算题目.485	260*989=
四则运算题目.486	733+473=
四则运算题目.487	220*3=
四则运算题目.488	350+94/611=
四则运算题目.489	735-557-985=
四则运算题目.490	598+754=
四则运算题目.491	200-978-190=
四则运算题目.492	958+467=
四则运算题目.493	208-16*691=
四则运算题目.494	546/249+886=
四则运算题目.495	552*756*425=
四则运算题目.496	171-761/202=
四则运算题目.497	7/180=
四则运算题目.498	384*395+809=
四则运算题目.499	217/545+476=
四则运算题目.500	769-700*878=
四则运算题目.501	660+213-251=
四则运算题目.502	267/563/18=
四则运算题目.503	69+640/439=
四则运算题目.504	288+704+709=
四则运算题目.505	377-303*204=
四则运算题目.506	514+162*605=
四则运算题目.507	95/324+408=
四则运算题目.508	543-5-60=
四则运算题目.509	681/583+112=
四则运算题目.510	328/112+141=
四则运算题目.511	861-431/840=
四则运算题目.512	377+940*87=
四则运算题目.513	169-763-420=
四则运算题目.514	848*647=
四则运算题目.515	742-196+579=
四则运算题目.516	543-484-282=
四则运算题目.517	361+501=
四则运算题目.518	512/49-137=
四则运算题目.519	429/197-604=
四则运算题目.520	104/791+567=
四则运算题目.521	16+534=
四则运算题目.522	605+694=
四则运算题目.523	395/47=
四则运算题目.524	569/855=
四则运算题目.525	342-790-729=
四则运算题目.526	269-678=
四则运算题目.527	291+765*739=
四则运算题目.528	20-510=
四则运算题目.529	840/893=
四则运算题目.530	920+410=
四则运算题目.531	235*874/645=
四则运算题目.532	375/790+694=
四则运算题目.533	679+491=
四则运算题目.534	370-949*343=
四则运算题目.535	256/904*856=
四则运算题目.536	881-188=
四则运算题目.537	295-691-217=
四则运算题目.538	969-223=
四则运算题目.539	702/380*494=
四则运算题目.540	891+500=
四则运算题目.541	477-262-822=
四则运算题目.542	695*991*508=
四则运算题目.543	271*221=
四则运算题目.544	583+915-950=
四则运算题目.545	711-78*419=
四则运算题目.546	503/844=
四则运算题目.547	312/821*254=
四则运算题目.548	884+118=
四则运算题目.549	275+533=
四则运算题目.550	499-135=
四则运算题目.551	432/995=
四则运算题目.552	20+574=
四则运算题目.553	964+525-698=
四则运算题目.554	243+666=
四则运算题目.555	762-723=
四则运算题目.556	462+776*233=
四则运算题目.557	658*387+569=
四则运算题目.558	90/366-417=
四则运算题目.559	654-90=
四则运算题目.560	178-948=
四则运算题目.561	932-664+976=
四则运算题目.562	121+683+514=
四则运算题目.563	783-202=
四则运算题目.564	840+886=
四则运算题目.565	353/114=
四则运算题目.566	605-173*520=
四则运算题目.567	348/840=
四则运算题目.568	326+850+377=
四则运算题目.569	202+770=
四则运算题目.570	987-43-595=
四则运算题目.571	540-547*836=
四则运算题目.572	213/531/838=
四则运算题目.573	528*776=
四则运算题目.574	489*296+920=
四则运算题目.575	125-862-357=
四则运算题目.576	842+385/394=
四则运算题目.577	393/514-674=
四则运算题目.578	695-653=
四则运算题目.579	566/610-62=
四则运算题目.580	543+448=
四则运算题目.581	797-754-273=
四则运算题目.582	293-647+213=
四则运算题目.583	145+936/519=
四则运算题目.584	467*651*634=
四则运算题目.585	186-855=
四则运算题目.586	867+15-227=
四则运算题目.587	922+314=
四则运算题目.588	233/838+450=
四则运算题目.589	339+204=
四则运算题目.590	437*297=
四则运算题目.591	180*601=
四则运算题目.592	225/975-263=
四则运算题目.593	8*520/690=
四则运算题目.594	548*777+356=
四则运算题目.595	430/997=
四则运算题目.596	912*16/102=
四则运算题目.597	512+616=
四则运算题目.598	405/501-93=
四则运算题目.599	374-480=
四则运算题目.600	575*795=
四则运算题目.601	665+87=
四则运算题目.602	304-164=
四则运算题目.603	443*219=
四则运算题目.604	476/508/49=
四则运算题目.605	863+546*136=
四则运算题目.606	152*486=
四则运算题目.607	529/866/9=
四则运算题目.608	115/902-905=
四则运算题目.609	446/832=
四则运算题目.610	237/905+40=
四则运算题目.611	671-182*18=
四则运算题目.612	925*224=
四则运算题目.613	1000+850*78=
四则运算题目.614	927/3+886=
四则运算题目.615	552-655*796=
四则运算题目.616	678/250*387=
四则运算题目.617	482+945*159=
四则运算题目.618	615*98-278=
四则运算题目.619	452-901+517=
四则运算题目.620	62*614*236=
四则运算题目.621	274*5/403=
四则运算题目.622	764*148=
四则运算题目.623	880*223=
四则运算题目.624	640-620=
四则运算题目.625	817*106=
四则运算题目.626	431*270/216=
四则运算题目.627	869*421+305=
四则运算题目.628	784*614-599=
四则运算题目.629	367/580=
四则运算题目.630	301*815*486=
四则运算题目.631	351/568/654=
四则运算题目.632	324*631=
四则运算题目.633	841+426=
四则运算题目.634	409-455*992=
四则运算题目.635	75-695*63=
四则运算题目.636	24/692=
四则运算题目.637	644*698*359=
四则运算题目.638	146*445-577=
四则运算题目.639	780*923*990=
四则运算题目.640	224+858/935=
四则运算题目.641	390/319=
四则运算题目.642	582+754+679=
四则运算题目.643	984-971=
四则运算题目.644	74/701=
四则运算题目.645	941*296=
四则运算题目.646	977-173-519=
四则运算题目.647	438-64*261=
四则运算题目.648	934/640*593=
四则运算题目.649	707*576*841=
四则运算题目.650	606*66/819=
四则运算题目.651	562/465+431=
四则运算题目.652	396+655+845=
四则运算题目.653	3*293+526=
四则运算题目.654	85+242=
四则运算题目.655	639-348+17=
四则运算题目.656	196+738=
四则运算题目.657	355*343/152=
四则运算题目.658	633+975/589=
四则运算题目.659	967*462=
四则运算题目.660	889*163/893=
四则运算题目.661	807+474=
四则运算题目.662	494-689=
四则运算题目.663	652/451/53=
四则运算题目.664	450*317=
四则运算题目.665	152-856=
四则运算题目.666	774*102=
四则运算题目.667	161*778*454=
四则运算题目.668	827+435=
四则运算题目.669	620*139-592=
四则运算题目.670	920/283-324=
四则运算题目.671	441*581+587=
四则运算题目.672	536+473*816=
四则运算题目.673	164+316=
四则运算题目.674	793/27=
四则运算题目.675	414*417*523=
四则运算题目.676	207-78/262=
四则运算题目.677	421/815*281=
四则运算题目.678	221-469*793=
四则运算题目.679	310/114/60=
四则运算题目.680	585*618-162=
四则运算题目.681	693*515-938=
四则运算题目.682	916-697/355=
四则运算题目.683	286+544-487=
四则运算题目.684	285+951-296=
四则运算题目.685	693+352+286=
四则运算题目.686	134*503=
四则运算题目.687	919-930/197=
四则运算题目.688	577/718=
四则运算题目.689	291+542*70=
四则运算题目.690	821-199=
四则运算题目.691	829+66=
四则运算题目.692	716*345+365=
四则运算题目.693	267-509/689=
四则运算题目.694	361*808*996=
四则运算题目.695	96*774+550=
四则运算题目.696	123*39=
四则运算题目.697	721-198=
四则运算题目.698	933+148/267=
四则运算题目.699	53/530=
四则运算题目.700	26-190-675=
四则运算题目.701	876*123*282=
四则运算题目.702	488/481=
四则运算题目.703	433/791+335=
四则运算题目.704	93-58+721=
四则运算题目.705	523*447-398=
四则运算题目.706	127/550+337=
四则运算题目.707	39-625+286=
四则运算题目.708	276+195+47=
四则运算题目.709	802-299*425=
四则运算题目.710	267/421=
四则运算题目.711	489/189*9=
四则运算题目.712	778+36/545=
四则运算题目.713	866-416=
四则运算题目.714	438*329=
四则运算题目.715	817/309=
四则运算题目.716	609-585=
四则运算题目.717	754-23/746=
四则运算题目.718	999/394*904=
四则运算题目.719	764-472=
四则运算题目.720	133*154/666=
四则运算题目.721	464-786=
四则运算题目.722	705-498*541=
四则运算题目.723	790/740-210=
四则运算题目.724	625/832/151=
四则运算题目.725	795*256*766=
四则运算题目.726	679*44*45=
四则运算题目.727	63-737=
四则运算题目.728	846+270/974=
四则运算题目.729	106/81/328=
四则运算题目.730	135+158*464=
四则运算题目.731	497+152*688=
四则运算题目.732	780*525=
四则运算题目.733	968+205+447=
四则运算题目.734	848+936-146=
四则运算题目.735	556-473=
四则运算题目.736	439*453=
四则运算题目.737	449-647-50=
四则运算题目.738	687+910-144=
四则运算题目.739	940+61=
四则运算题目.740	144-639=
四则运算题目.741	787*177-521=
四则运算题目.742	926*141*122=
四则运算题目.743	392*179=
四则运算题目.744	156*4-260=
四则运算题目.745	811*852-341=
四则运算题目.746	113*759+875=
四则运算题目.747	540-92+393=
四则运算题目.748	146/984=
四则运算题目.749	762/796-193=
四则运算题目.750	475*552*930=
四则运算题目.751	903-836+22=
四则运算题目.752	950-433-436=
四则运算题目.753	65-439=
四则运算题目.754	258*783+100=
四则运算题目.755	407-173+897=
四则运算题目.756	982+666*889=
四则运算题目.757	565/85=
四则运算题目.758	193-999+777=
四则运算题目.759	694+299=
四则运算题目.760	749-847=
四则运算题目.761	490/18+661=
四则运算题目.762	469/667+800=
四则运算题目.763	596/553*11=
四则运算题目.764	662/55/483=
四则运算题目.765	346+108=
四则运算题目.766	766+751=
四则运算题目.767	365*733/475=
四则运算题目.768	170*77=
四则运算题目.769	583*959=
四则运算题目.770	936+856=
四则运算题目.771	620*884+997=
四则运算题目.772	582+746=
四则运算题目.773	814-901=
四则运算题目.774	189/215-322=
四则运算题目.775	364-712+511=
四则运算题目.776	86*389=
四则运算题目.777	792/634=
四则运算题目.778	530-454=
四则运算题目.779	617+801=
四则运算题目.780	588-134/593=
四则运算题目.781	689-71=
四则运算题目.782	752+655+22=
四则运算题目.783	347-750=
四则运算题目.784	184+899+296=
四则运算题目.785	29+365=
四则运算题目.786	944+985=
四则运算题目.787	472-168=
四则运算题目.788	646-363=
四则运算题目.789	8/413/128=
四则运算题目.790	163*385=
四则运算题目.791	448-245-315=
四则运算题目.792	303*580*735=
四则运算题目.793	296+868=
四则运算题目.794	383*279/23=
四则运算题目.795	347+223=
四则运算题目.796	195/190-404=
四则运算题目.797	342*631/581=
四则运算题目.798	129-706*520=
四则运算题目.799	431*1000+313=
四则运算题目.800	353/923=
四则运算题目.801	548+400-101=
四则运算题目.802	1/450=
四则运算题目.803	853/646*248=
四则运算题目.804	327*107-924=
四则运算题目.805	398-161+438=
四则运算题目.806	126*704=
四则运算题目.807	664-362+528=
四则运算题目.808	569/374-82=
四则运算题目.809	515/630/649=
四则运算题目.810	928+973-121=
四则运算题目.811	373+216=
四则运算题目.812	233*206/191=
四则运算题目.813	676-854=
四则运算题目.814	854/669-884=
四则运算题目.815	164/868+887=
四则运算题目.816	831/543/905=
四则运算题目.817	864-473-927=
四则运算题目.818	508*334*146=
四则运算题目.819	105-48=
四则运算题目.820	246*818/560=
四则运算题目.821	347-465/41=
四则运算题目.822	860/244/574=
四则运算题目.823	522*231*88=
四则运算题目.824	989-334-814=
四则运算题目.825	120+160*162=
四则运算题目.826	555*404=
四则运算题目.827	369/892=
四则运算题目.828	402-840=
四则运算题目.829	317/275*384=
四则运算题目.830	225*898*372=
四则运算题目.831	782*771-407=
四则运算题目.832	19-398=
四则运算题目.833	139+400=
四则运算题目.834	481+851*315=
四则运算题目.835	761/654/154=
四则运算题目.836	276+846=
四则运算题目.837	842*778=
四则运算题目.838	231-250=
四则运算题目.839	244-2=
四则运算题目.840	817/115=
四则运算题目.841	889-192*369=
四则运算题目.842	289*286=
四则运算题目.843	681*460+492=
四则运算题目.844	182*868/560=
四则运算题目.845	792+291+304=
四则运算题目.846	495-639=
四则运算题目.847	553+173=
四则运算题目.848	225-864=
四则运算题目.849	978/914*18=
四则运算题目.850	684/611*328=
四则运算题目.851	685/915*367=
四则运算题目.852	523-80+159=
四则运算题目.853	305-184/631=
四则运算题目.854	610+3*722=
四则运算题目.855	295*423+728=
四则运算题目.856	490+7=
四则运算题目.857	624-979+478=
四则运算题目.858	412/119=
四则运算题目.859	295+963+659=
四则运算题目.860	790/816*108=
四则运算题目.861	414-921*478=
四则运算题目.862	209/895=
四则运算题目.863	48+660+716=
四则运算题目.864	118/821+577=
四则运算题目.865	231+395-138=
四则运算题目.866	57/602=
四则运算题目.867	134*668+774=
四则运算题目.868	706/839=
四则运算题目.869	292/968=
四则运算题目.870	6/12=
四则运算题目.871	59*983=
四则运算题目.872	977/552*238=
四则运算题目.873	165*522=
四则运算题目.874	737+516=
四则运算题目.875	700/471-846=
四则运算题目.876	313+284/140=
四则运算题目.877	783*977=
四则运算题目.878	563/331-728=
四则运算题目.879	894-54/983=
四则运算题目.880	446*695*380=
四则运算题目.881	261-905*596=
四则运算题目.882	245/173=
四则运算题目.883	364/326/236=
四则运算题目.884	550/521/784=
四则运算题目.885	204/364/192=
四则运算题目.886	869/40=
四则运算题目.887	763+493*792=
四则运算题目.888	53*206=
四则运算题目.889	173+678=
四则运算题目.890	637-967*289=
四则运算题目.891	1/106*917=
四则运算题目.892	409/983*155=
四则运算题目.893	898-712=
四则运算题目.894	478-503=
四则运算题目.895	724-715+342=
四则运算题目.896	707+902/240=
四则运算题目.897	577/32*362=
四则运算题目.898	559+306=
四则运算题目.899	838*753+200=
四则运算题目.900	6-933=
四则运算题目.901	745+543=
四则运算题目.902	879*556*282=
四则运算题目.903	446/270=
四则运算题目.904	483/50+751=
四则运算题目.905	67/798=
四则运算题目.906	107+240/328=
四则运算题目.907	595+951/558=
四则运算题目.908	922/174=
四则运算题目.909	736/114*191=
四则运算题目.910	85+397=
四则运算题目.911	298-35/900=
四则运算题目.912	158+759-438=
四则运算题目.913	123+62=
四则运算题目.914	396*684*838=
