第0题的答案：	442'11/67
第87题的答案：	662
第88题的答案：	-2508/101
第89题的答案：	3170048
第90题的答案：	581'23/329
第91题的答案：	88960
第92题的答案：	21/74
第93题的答案：	344
第94题的答案：	99130
第95题的答案：	86129
第96题的答案：	50173
第97题的答案：	489'48/179
第98题的答案：	742
第99题的答案：	234
第100题的答案：	-120187/199
第101题的答案：	296'387/620
第102题的答案：	1'134/297
第103题的答案：	97
第104题的答案：	740'9/280
第105题的答案：	202'156/401
第106题的答案：	737
第107题的答案：	332/745875
第108题的答案：	151842
第109题的答案：	929'29/70
第110题的答案：	1587
第111题的答案：	512
第112题的答案：	349143
第113题的答案：	125'193/412
第114题的答案：	226548
第115题的答案：	137256
第116题的答案：	-28326
第117题的答案：	397
第118题的答案：	265'457/885
第119题的答案：	1379
第120题的答案：	563
第121题的答案：	-521210
第122题的答案：	700678
第123题的答案：	13675060
第124题的答案：	111726160
第125题的答案：	-27215/113
第126题的答案：	284532
第127题的答案：	10'59/72
第128题的答案：	587274
第129题的答案：	-929
第130题的答案：	1869
第131题的答案：	2165'193/256
第132题的答案：	572
第133题的答案：	182'265/906
第134题的答案：	931'235/438
第135题的答案：	877/510645
第136题的答案：	1934
第137题的答案：	1257
第138题的答案：	178251
第139题的答案：	93281
第140题的答案：	495'31/32
第141题的答案：	434'86/609
第142题的答案：	-142262
第143题的答案：	864'193/918
第144题的答案：	1262'31/320
第145题的答案：	267180
第146题的答案：	-274879/530
第147题的答案：	42982
第148题的答案：	-999
第149题的答案：	-67955/262
第150题的答案：	3680460
第151题的答案：	878'117/194
第152题的答案：	189830
第153题的答案：	35/7729
第154题的答案：	1156
第155题的答案：	44/461
第156题的答案：	232
第157题的答案：	341'403/817
第158题的答案：	467617455
第159题的答案：	192'18/271
第160题的答案：	256455
第161题的答案：	1261
第162题的答案：	1030
第163题的答案：	65'76/835
第164题的答案：	107/620
第165题的答案：	172500
第166题的答案：	1225290
第167题的答案：	311'14/81
第168题的答案：	1413
第169题的答案：	22'46/97
第170题的答案：	2409
第171题的答案：	-18955/33
第172题的答案：	557237
第173题的答案：	88030
第174题的答案：	-77419/216
第175题的答案：	757/442385
第176题的答案：	256
第177题的答案：	430
第178题的答案：	332/911
第179题的答案：	910336
第180题的答案：	382
第181题的答案：	863
第182题的答案：	-430551/827
第183题的答案：	450367
第184题的答案：	605'31/77
第185题的答案：	3'52/177
第186题的答案：	98976
第187题的答案：	51403352
第188题的答案：	-111
第189题的答案：	78539
第190题的答案：	64704068
第191题的答案：	-987
第192题的答案：	99'328/341
第193题的答案：	-339814
第194题的答案：	355'97/533
第195题的答案：	702258
第196题的答案：	204043
第197题的答案：	228'181/299
第198题的答案：	661'52/699
第199题的答案：	1007
第200题的答案：	716
第201题的答案：	868064
第202题的答案：	317839
第203题的答案：	1071
第204题的答案：	1136
第205题的答案：	125503
第206题的答案：	-1373
第207题的答案：	530'244/483
第208题的答案：	-51530
第209题的答案：	989/287793
第210题的答案：	533161
第211题的答案：	181'145/299
第212题的答案：	1097
第213题的答案：	643395
第214题的答案：	477/527
第215题的答案：	2'88/375
第216题的答案：	169440
第217题的答案：	381847
第218题的答案：	129042
第219题的答案：	1470
第220题的答案：	493
第221题的答案：	143566560
第222题的答案：	-1033
第223题的答案：	-406
第224题的答案：	1051'1/7
第225题的答案：	515916
第226题的答案：	382'5/31
第227题的答案：	1605792
第228题的答案：	-104
第229题的答案：	954'9/11
第230题的答案：	21'19/21
第231题的答案：	911'5/59
第232题的答案：	-427
第233题的答案：	371
第234题的答案：	15'254/649
第235题的答案：	46984
第236题的答案：	542412
第237题的答案：	1162
第238题的答案：	81
第239题的答案：	179750
第240题的答案：	217
第241题的答案：	80196
第242题的答案：	180
第243题的答案：	315707
第244题的答案：	710160
第245题的答案：	1384
第246题的答案：	574'79/577
第247题的答案：	-95295
第248题的答案：	-460261/951
第249题的答案：	261856
第250题的答案：	-746
第251题的答案：	-660
第252题的答案：	-84
第253题的答案：	79'91/99
第254题的答案：	365458
第255题的答案：	218/74415
第256题的答案：	-741
第257题的答案：	-31907/196
第258题的答案：	90053
第259题的答案：	549
第260题的答案：	1209
第261题的答案：	-131
第262题的答案：	1860
第263题的答案：	782
第264题的答案：	837'216/277
第265题的答案：	1'36/317
第266题的答案：	358380
第267题的答案：	-296
第268题的答案：	145476
第269题的答案：	-412
第270题的答案：	90508
第271题的答案：	54/97
第272题的答案：	404
第273题的答案：	726'122/131
第274题的答案：	-307014
第275题的答案：	856'1/3
第276题的答案：	72572536
第277题的答案：	-635
第278题的答案：	13/27
第279题的答案：	251050800
第280题的答案：	1168
第281题的答案：	177436
第282题的答案：	614
第283题的答案：	1056
第284题的答案：	1'101/884
第285题的答案：	146/100497
第286题的答案：	351/488
第287题的答案：	120'331/937
第288题的答案：	672'7/467
第289题的答案：	130'1/3
第290题的答案：	369'129/409
第291题的答案：	890
第292题的答案：	624
第293题的答案：	25090706
第294题的答案：	84456
第295题的答案：	205442
第296题的答案：	199
第297题的答案：	425136816
第298题的答案：	282'47/60
第299题的答案：	-42915
第300题的答案：	5630688
第301题的答案：	117585
第302题的答案：	649572
第303题的答案：	22
第304题的答案：	441/929
第305题的答案：	18165
第306题的答案：	-92339/405
第307题的答案：	391/387585
第308题的答案：	103/18179
第309题的答案：	-261688/575
第310题的答案：	285'943/944
第311题的答案：	175
第312题的答案：	-90477/175
第313题的答案：	65'19/138
第314题的答案：	115310
第315题的答案：	15
第316题的答案：	-368297/379
第317题的答案：	769
第318题的答案：	-152
第319题的答案：	1845
第320题的答案：	794'67/156
第321题的答案：	-20
第322题的答案：	1173
第323题的答案：	173/714
第324题的答案：	-207
第325题的答案：	1093
第326题的答案：	82419
第327题的答案：	21268
第328题的答案：	1081
第329题的答案：	-477
第330题的答案：	11/2892
第331题的答案：	-575002/949
第332题的答案：	1567
第333题的答案：	546
第334题的答案：	206'1/41
第335题的答案：	-57236/719
第336题的答案：	25/4203
第337题的答案：	134713152
第338题的答案：	-50231
第339题的答案：	678
第340题的答案：	2547
第341题的答案：	369456
第342题的答案：	49'41/109
第343题的答案：	1691
第344题的答案：	40040
第345题的答案：	143/2070
第346题的答案：	218197
第347题的答案：	603901
第348题的答案：	513/976
第349题的答案：	237'7/29
第350题的答案：	822681
第351题的答案：	700'109/186
第352题的答案：	128643
第353题的答案：	644
第354题的答案：	699
第355题的答案：	1'347/532
第356题的答案：	869'536/995
第357题的答案：	417688
第358题的答案：	394
第359题的答案：	1440
第360题的答案：	34/53
第361题的答案：	943
第362题的答案：	105792
第363题的答案：	1612
第364题的答案：	463371
第365题的答案：	1446
第366题的答案：	434'12/17
第367题的答案：	-1238
第368题的答案：	2190
第369题的答案：	822865
第370题的答案：	932'593/883
第371题的答案：	21'766/983
第372题的答案：	673977
第373题的答案：	341718
第374题的答案：	1859
第375题的答案：	902260
第376题的答案：	702'321/385
第377题的答案：	907'25/44
第378题的答案：	407957
第379题的答案：	211/852
第380题的答案：	-357
第381题的答案：	78244
第382题的答案：	278253
第383题的答案：	319703
第384题的答案：	276/166315
第385题的答案：	-373933
第386题的答案：	1478
第387题的答案：	776'43/122
第388题的答案：	118
第389题的答案：	97
第390题的答案：	27'12/35
第391题的答案：	11'15/23
第392题的答案：	565224
第393题的答案：	469
第394题的答案：	1206
第395题的答案：	2280
第396题的答案：	-233
第397题的答案：	170663
第398题的答案：	284
第399题的答案：	501207
第400题的答案：	240674480
第401题的答案：	406'33/178
第402题的答案：	43467930
第403题的答案：	-5422
第404题的答案：	332'28/37
第405题的答案：	34
第406题的答案：	643
第407题的答案：	-118
第408题的答案：	770'17/373
第409题的答案：	277/9120
第410题的答案：	18591
第411题的答案：	617'25/46
第412题的答案：	70718
第413题的答案：	-152527/474
第414题的答案：	1885
第415题的答案：	11/158
第416题的答案：	-756
第417题的答案：	27'297/410
第418题的答案：	-293436/373
第419题的答案：	311'259/653
第420题的答案：	5'577/935
第421题的答案：	98865
第422题的答案：	508
第423题的答案：	791
第424题的答案：	289489
第425题的答案：	458280
第426题的答案：	1226
第427题的答案：	-650
第428题的答案：	2'78/85
第429题的答案：	365904
第430题的答案：	270
第431题的答案：	130588
第432题的答案：	68/111
第433题的答案：	3'176/201
第434题的答案：	1092
第435题的答案：	-744
第436题的答案：	186966150
第437题的答案：	174312
第438题的答案：	341/250567
第439题的答案：	1702
第440题的答案：	99912080
第441题的答案：	1595
第442题的答案：	462094
第443题的答案：	136'783/853
第444题的答案：	45'2/3
第445题的答案：	1550
第446题的答案：	-333
第447题的答案：	1210
第448题的答案：	-387514
第449题的答案：	101/141723
第450题的答案：	2'7/131
第451题的答案：	-640743/829
第452题的答案：	175
第453题的答案：	-165706
第454题的答案：	820'410/643
第455题的答案：	2054
第456题的答案：	879'177/265
第457题的答案：	59/289
第458题的答案：	615'41/111
第459题的答案：	1546
第460题的答案：	75524
第461题的答案：	1188
第462题的答案：	570'82/463
第463题的答案：	905'134/179
第464题的答案：	265'47/137
第465题的答案：	918'423/644
第466题的答案：	151155
第467题的答案：	-245
第468题的答案：	-444
第469题的答案：	41'251/301
第470题的答案：	1450
第471题的答案：	562'3/16
第472题的答案：	252817
第473题的答案：	-198232
第474题的答案：	766
第475题的答案：	1377
第476题的答案：	655'199/222
第477题的答案：	331'305/928
第478题的答案：	511/664
第479题的答案：	101'11/17
第480题的答案：	216827
第481题的答案：	-1
第482题的答案：	153035
第483题的答案：	87/57596
第484题的答案：	135891
第485题的答案：	981
第486题的答案：	672'279/400
第487题的答案：	649/282204
第488题的答案：	614'34/69
第489题的答案：	852'773/936
第490题的答案：	4843'11/16
第491题的答案：	222281
第492题的答案：	564'310/443
第493题的答案：	525504
第494题的答案：	409667
第495题的答案：	936'23/97
第496题的答案：	-389
第497题的答案：	269854
第498题的答案：	-177258/913
第499题的答案：	414968
第500题的答案：	380
第501题的答案：	9144891
第502题的答案：	395
第503题的答案：	916
第504题的答案：	17484390
第505题的答案：	-1764/17
第506题的答案：	481'30/47
第507题的答案：	389592630
第508题的答案：	411499
第509题的答案：	16368
第510题的答案：	1440
第511题的答案：	608'655/956
第512题的答案：	1946
第513题的答案：	420
第514题的答案：	84
第515题的答案：	152'304/831
第516题的答案：	98577
第517题的答案：	184'113/742
第518题的答案：	1335
第519题的答案：	490197
第520题的答案：	500136175
第521题的答案：	231256
第522题的答案：	7682688
第523题的答案：	-9535/381
第524题的答案：	881/36358
第525题的答案：	901'57/80
第526题的答案：	17608
第527题的答案：	716830
第528题的答案：	466
第529题的答案：	2'149/213
第530题的答案：	-389
第531题的答案：	150923
第532题的答案：	73/150
第533题的答案：	895'8/19
第534题的答案：	-1039
第535题的答案：	799'356/959
第536题的答案：	152334
第537题的答案：	1268
第538题的答案：	1141
第539题的答案：	450920184
第540题的答案：	310/697
第541题的答案：	35'265/311
第542题的答案：	1190
第543题的答案：	544'487/931
第544题的答案：	197/384849
第545题的答案：	1948
第546题的答案：	329104
第547题的答案：	-466
第548题的答案：	142
第549题的答案：	742152
第550题的答案：	900'161/320
第551题的答案：	905
第552题的答案：	237896
第553题的答案：	1326
第554题的答案：	581
第555题的答案：	683/430197
第556题的答案：	3528
第557题的答案：	-80109/233
第558题的答案：	20'7/40
第559题的答案：	984'51/62
第560题的答案：	1'151/224
第561题的答案：	93914
第562题的答案：	5566'1/38
第563题的答案：	-948
第564题的答案：	183'1/2
第565题的答案：	1303
第566题的答案：	1595
第567题的答案：	-1127
第568题的答案：	965
第569题的答案：	98427
第570题的答案：	-667490
第571题的答案：	198'198/551
第572题的答案：	-425
第573题的答案：	91
第574题的答案：	463/263760
第575题的答案：	685
第576题的答案：	443'103/541
第577题的答案：	445/878
第578题的答案：	1428
第579题的答案：	268302
第580题的答案：	353
第581题的答案：	178/443
第582题的答案：	639/506900
第583题的答案：	828
第584题的答案：	-270
第585题的答案：	409063
第586题的答案：	537'361/373
第587题的答案：	149'10/29
第588题的答案：	-611
第589题的答案：	610'222/457
第590题的答案：	1'320/623
第591题的答案：	5'44/167
第592题的答案：	-6177/23
第593题的答案：	683
第594题的答案：	-46665/308
第595题的答案：	57/135010
第596题的答案：	698'107/424
第597题的答案：	623
第598题的答案：	8/1855
第599题的答案：	629091
第600题的答案：	642208
第601题的答案：	595'50/477
第602题的答案：	738
第603题的答案：	1371
第604题的答案：	1045
第605题的答案：	877/155820
第606题的答案：	22565
第607题的答案：	1'9/196
第608题的答案：	1345'7/8
第609题的答案：	197'126/167
第610题的答案：	187/339120
第611题的答案：	1533
第612题的答案：	1299
第613题的答案：	1103
第614题的答案：	307/21096
第615题的答案：	100126
第616题的答案：	1054
第617题的答案：	3'21/22
第618题的答案：	344'82/261
第619题的答案：	203
第620题的答案：	12525
第621题的答案：	-243
第622题的答案：	-936
第623题的答案：	860869
第624题的答案：	737
第625题的答案：	602'155/223
第626题的答案：	50431
第627题的答案：	28'44/281
第628题的答案：	-5523/193
第629题的答案：	1139
第630题的答案：	55618
第631题的答案：	136'37/45
第632题的答案：	-18
第633题的答案：	56542816
第634题的答案：	1416'129/188
第635题的答案：	-851
第636题的答案：	220/223
第637题的答案：	878
第638题的答案：	2'1/24
第639题的答案：	31725
第640题的答案：	752
第641题的答案：	787710
第642题的答案：	-4
第643题的答案：	-121
第644题的答案：	1659'119/355
第645题的答案：	461
第646题的答案：	149'8/223
第647题的答案：	9
第648题的答案：	899
第649题的答案：	245
第650题的答案：	39640000
第651题的答案：	-622439
第652题的答案：	1133
第653题的答案：	245/397
第654题的答案：	125290
第655题的答案：	833178
第656题的答案：	254'9/38
第657题的答案：	1115
第658题的答案：	343/977
第659题的答案：	229585
第660题的答案：	941
第661题的答案：	250
第662题的答案：	499'205/379
第663题的答案：	-87249/974
第664题的答案：	5814
第665题的答案：	54997
第666题的答案：	295'256/297
第667题的答案：	1362
第668题的答案：	500388
第669题的答案：	47/13515
第670题的答案：	-429
第671题的答案：	1'15/749
第672题的答案：	709
第673题的答案：	29745
第674题的答案：	325235
第675题的答案：	20687436
第676题的答案：	-550
第677题的答案：	275'67/113
第678题的答案：	267592
第679题的答案：	268572
第680题的答案：	-594
第681题的答案：	150498
第682题的答案：	13'8/71
第683题的答案：	315832
第684题的答案：	393'8/15
第685题的答案：	561968
第686题的答案：	358269
第687题的答案：	162/14575
第688题的答案：	1448
第689题的答案：	-9783/10
第690题的答案：	25'863/969
第691题的答案：	359054
第692题的答案：	10467
第693题的答案：	8806000
第694题的答案：	1069
第695题的答案：	106/24681
第696题的答案：	574
第697题的答案：	26'43/897
第698题的答案：	124018
第699题的答案：	708
第700题的答案：	8859
第701题的答案：	700'34/121
第702题的答案：	875'125/468
第703题的答案：	421455
第704题的答案：	476'690/883
第705题的答案：	441288
第706题的答案：	2066
第707题的答案：	504'5/454
第708题的答案：	-771431
第709题的答案：	262/743
第710题的答案：	490000
第711题的答案：	3
第712题的答案：	545615
第713题的答案：	34012
第714题的答案：	571
第715题的答案：	3'25/173
第716题的答案：	-182155/291
第717题的答案：	-1111
第718题的答案：	741'427/613
第719题的答案：	872
第720题的答案：	26866
第721题的答案：	3'1/23
第722题的答案：	-20789/117
第723题的答案：	1039'137/351
第724题的答案：	31/827
第725题的答案：	21'13/15
第726题的答案：	679
第727题的答案：	98529
第728题的答案：	489/140024
第729题的答案：	2563
第730题的答案：	110'221/974
第731题的答案：	2'175/358
第732题的答案：	755146
第733题的答案：	359
第734题的答案：	1397
第735题的答案：	-868
第736题的答案：	636/394865
第737题的答案：	240660000
第738题的答案：	777
第739题的答案：	7'35/108
第740题的答案：	173'3/193
第741题的答案：	237566640
第742题的答案：	310
第743题的答案：	1496
第744题的答案：	-37952
第745题的答案：	503'729/772
第746题的答案：	93
第747题的答案：	-3245
第748题的答案：	22718
第749题的答案：	889'202/207
第750题的答案：	2634'8/123
第751题的答案：	765'103/275
第752题的答案：	2'9/19
第753题的答案：	762
第754题的答案：	1351
第755题的答案：	791
第756题的答案：	-616
第757题的答案：	987'121/168
第758题的答案：	524872
第759题的答案：	-436371
第760题的答案：	323152060
第761题的答案：	352268
第762题的答案：	360696
第763题的答案：	459546
第764题的答案：	-709571/909
第765题的答案：	115
第766题的答案：	316150
第767题的答案：	168'2/107
第768题的答案：	9527168
第769题的答案：	430'663/700
第770题的答案：	36010
第771题的答案：	9228072
第772题的答案：	349/943
第773题的答案：	1590
第774题的答案：	31680
第775题的答案：	142670
第776题的答案：	847/3006
第777题的答案：	258470913
第778题的答案：	146
第779题的答案：	8901
第780题的答案：	469
第781题的答案：	-351
第782题的答案：	358827
第783题的答案：	650'58/73
第784题的答案：	-196743/353
第785题的答案：	4894'25/36
第786题的答案：	303940
第787题的答案：	608548
第788题的答案：	1'1/88
第789题的答案：	2053
第790题的答案：	138'147/352
第791题的答案：	-848
第792题的答案：	2'43/54
第793题的答案：	377'129/223
第794题的答案：	129'91/171
第795题的答案：	2244'3/11
第796题的答案：	856'534/689
第797题的答案：	147358232
第798题的答案：	2316
第799题的答案：	688
第800题的答案：	151/110298
第801题的答案：	-493
第802题的答案：	13510
第803题的答案：	1018'2/81
第804题的答案：	124800
第805题的答案：	301'79/136
第806题的答案：	-303338/383
第807题的答案：	575
第808题的答案：	25344
第809题的答案：	-6411/44
第810题的答案：	305
第811题的答案：	1270
第812题的答案：	350'322/825
第813题的答案：	50936
第814题的答案：	118089
第815题的答案：	1460
第816题的答案：	-140507
第817题的答案：	-543
第818题的答案：	20388120
第819题的答案：	34997
第820题的答案：	15010
第821题的答案：	594'496/663
第822题的答案：	737981
第823题的答案：	378'186/563
第824题的答案：	797'89/361
第825题的答案：	112673
第826题的答案：	-143496
第827题的答案：	608
第828题的答案：	335'8/305
第829题的答案：	42'58/575
第830题的答案：	52000
第831题的答案：	406
第832题的答案：	1131
第833题的答案：	5'25/36
第834题的答案：	673/120750
第835题的答案：	100/543
第836题的答案：	46553
第837题的答案：	-458
第838题的答案：	1'17/62
第839题的答案：	266'155/709
第840题的答案：	272/439
第841题的答案：	-605
第842题的答案：	564
第843题的答案：	1324
第844题的答案：	552
第845题的答案：	-98
第846题的答案：	226
第847题的答案：	748
第848题的答案：	176/289
第849题的答案：	-258939
第850题的答案：	-611
第851题的答案：	-617
第852题的答案：	-816
第853题的答案：	-488
第854题的答案：	-613
第855题的答案：	-90636/101
第856题的答案：	2435
第857题的答案：	1555
第858题的答案：	244'4/31
第859题的答案：	-453535
第860题的答案：	-261808/373
第861题的答案：	-1368
第862题的答案：	-1104
第863题的答案：	818'25/463
第864题的答案：	662106
第865题的答案：	770'2/9
第866题的答案：	945'47/49
第867题的答案：	18'4/13
第868题的答案：	801
第869题的答案：	-356
第870题的答案：	330
第871题的答案：	1522
第872题的答案：	-57
第873题的答案：	264'213/839
第874题的答案：	160'283/344
第875题的答案：	468
第876题的答案：	-409127/945
第877题的答案：	629/45120
第878题的答案：	868'149/472
第879题的答案：	-3678
第880题的答案：	-8251
第881题的答案：	1165
第882题的答案：	322980
第883题的答案：	1174
第884题的答案：	-45
第885题的答案：	298
第886题的答案：	177'95/99
第887题的答案：	-165596
第888题的答案：	46'5/341
第889题的答案：	1805'41/57
第890题的答案：	-215167
第891题的答案：	154
第892题的答案：	615
第893题的答案：	54
第894题的答案：	716'23/40
第895题的答案：	-307
第896题的答案：	358
第897题的答案：	806
第898题的答案：	73000
第899题的答案：	-990
第900题的答案：	48'624/857
第901题的答案：	102357
第902题的答案：	393'146/249
第903题的答案：	516873
第904题的答案：	-241623
第905题的答案：	453'73/649
第906题的答案：	57447
第907题的答案：	513'193/260
第908题的答案：	774
第909题的答案：	-959
第910题的答案：	-312
第911题的答案：	170194752
第912题的答案：	43829
第913题的答案：	113/160
第914题的答案：	996
第915题的答案：	44064
第916题的答案：	295'345/589
第917题的答案：	272'113/985
第918题的答案：	1666
第919题的答案：	839'292/799
第920题的答案：	197560
第921题的答案：	-5873/116
第922题的答案：	-441
第923题的答案：	939
第924题的答案：	645/676
第925题的答案：	1372'14/57
第926题的答案：	-603240
第927题的答案：	-173/5
第928题的答案：	-177673/320
第929题的答案：	107/239040
第930题的答案：	130033
第931题的答案：	259755
第932题的答案：	1846'4/5
第933题的答案：	234570
第934题的答案：	1597'29/61
第935题的答案：	519'111/368
第936题的答案：	2'119/184
第937题的答案：	-172073
第938题的答案：	450
第939题的答案：	64'314/327
第940题的答案：	808'45/257
第941题的答案：	257387070
第942题的答案：	419/9855
第943题的答案：	246'38/121
第944题的答案：	-17169/91
第945题的答案：	9/43966
第946题的答案：	13758
第947题的答案：	37875
第948题的答案：	1'167/328
第949题的答案：	2715
第950题的答案：	303/15904
第951题的答案：	-998
第952题的答案：	123591
第953题的答案：	515'329/415
第954题的答案：	-220
第955题的答案：	-569
第956题的答案：	951
第957题的答案：	910'965/966
第958题的答案：	650'26/93
第959题的答案：	316085
第960题的答案：	664
第961题的答案：	186
第962题的答案：	51863295
第963题的答案：	395901
第964题的答案：	276
第965题的答案：	1772
第966题的答案：	-601
第967题的答案：	98154
第968题的答案：	121206
第969题的答案：	9'111/434
第970题的答案：	53930080
第971题的答案：	320'31/152
第972题的答案：	186810278
第973题的答案：	76201
第974题的答案：	945/569792
第975题的答案：	108301
第976题的答案：	-186208/195
第977题的答案：	253
第978题的答案：	916'13/14
第979题的答案：	-116705
第980题的答案：	828'28/165
第981题的答案：	112115
第982题的答案：	22177
第983题的答案：	421632
第984题的答案：	404'431/684
第985题的答案：	459620
第986题的答案：	-44
第987题的答案：	62'20/323
第988题的答案：	35853
第989题的答案：	321'48/475
第990题的答案：	743
第991题的答案：	363
第992题的答案：	623'25/62
第993题的答案：	2'106/151
第994题的答案：	451057
第995题的答案：	875'157/717
第996题的答案：	120036
第997题的答案：	31'111/290
第998题的答案：	488
第999题的答案：	181
第1000题的答案：	13'34/107
第1001题的答案：	-245
第1002题的答案：	283'1/5
第1003题的答案：	689664
第1004题的答案：	4864860
第1005题的答案：	41178
第1006题的答案：	392974
第1007题的答案：	172593
第1008题的答案：	-296
第1009题的答案：	396'102/113
第1010题的答案：	-792989
第1011题的答案：	3868
第1012题的答案：	-229625
第1013题的答案：	-146456/469
第1014题的答案：	714'1/3
第1015题的答案：	1611
第1016题的答案：	14
第1017题的答案：	457666
第1018题的答案：	494'4/5
第1019题的答案：	1197
第1020题的答案：	536
第1021题的答案：	-38353/481
第1022题的答案：	753'355/406
第1023题的答案：	970'11/45
第1024题的答案：	607/633
第1025题的答案：	838439
第1026题的答案：	382772
第1027题的答案：	24750
第1028题的答案：	28337232
第1029题的答案：	-95532/389
第1030题的答案：	128/23535
第1031题的答案：	1525
第1032题的答案：	233/281418
第1033题的答案：	836'715/956
第1034题的答案：	-297
第1035题的答案：	31'23/121
第1036题的答案：	134/1555
第1037题的答案：	-305
第1038题的答案：	227/243719
第1039题的答案：	-882
第1040题的答案：	-415682
第1041题的答案：	407
第1042题的答案：	950'273/614
第1043题的答案：	49147780
第1044题的答案：	-242
第1045题的答案：	687/943
第1046题的答案：	660'57/383
第1047题的答案：	-480502
第1048题的答案：	656
第1049题的答案：	-67
第1050题的答案：	-22719/44
第1051题的答案：	713'139/549
第1052题的答案：	137/6894
第1053题的答案：	169835
第1054题的答案：	3'4/9
第1055题的答案：	118/423
第1056题的答案：	40
第1057题的答案：	-516
第1058题的答案：	23'9/14
第1059题的答案：	205/391
第1060题的答案：	628
第1061题的答案：	617192
第1062题的答案：	1'199/202
第1063题的答案：	939'61/255
第1064题的答案：	2'37/78
第1065题的答案：	77760
第1066题的答案：	513'114/397
第1067题的答案：	142/12059
第1068题的答案：	-853
第1069题的答案：	1557'5/23
第1070题的答案：	814
第1071题的答案：	1533
第1072题的答案：	1277
第1073题的答案：	972
第1074题的答案：	32'13/36
第1075题的答案：	2'42/373
第1076题的答案：	75
第1077题的答案：	-44421/61
第1078题的答案：	-248143
第1079题的答案：	946'34/49
第1080题的答案：	-1278
第1081题的答案：	720'348/847
第1082题的答案：	-534
第1083题的答案：	979
第1084题的答案：	35/881
第1085题的答案：	406'99/118
第1086题的答案：	-54521/659
第1087题的答案：	174'78/283
第1088题的答案：	785'107/111
第1089题的答案：	739
第1090题的答案：	83808
第1091题的答案：	1557
第1092题的答案：	83671
第1093题的答案：	427/852
第1094题的答案：	83/20148
第1095题的答案：	242'130/463
第1096题的答案：	-195
第1097题的答案：	641
第1098题的答案：	546
第1099题的答案：	88517610
第1100题的答案：	395399
第1101题的答案：	362771
第1102题的答案：	26574
第1103题的答案：	1904
第1104题的答案：	-23
第1105题的答案：	103597
第1106题的答案：	659
第1107题的答案：	868'177/784
第1108题的答案：	1815
第1109题的答案：	593
第1110题的答案：	338'33/34
第1111题的答案：	-226
第1112题的答案：	-47912
第1113题的答案：	15'765/829
第1114题的答案：	731'439/682
第1115题的答案：	-45
第1116题的答案：	-303567
第1117题的答案：	1109
第1118题的答案：	-252
第1119题的答案：	1388
第1120题的答案：	121/127
第1121题的答案：	624
第1122题的答案：	401'6/25
第1123题的答案：	427
第1124题的答案：	-276947
第1125题的答案：	967/18496
第1126题的答案：	171940482
第1127题的答案：	1'30/47
第1128题的答案：	-182710/309
第1129题的答案：	2048'14/17
第1130题的答案：	103385
第1131题的答案：	199/263
第1132题的答案：	-368
第1133题的答案：	38734800
第1134题的答案：	532
第1135题的答案：	176
第1136题的答案：	433
第1137题的答案：	149'25/97
第1138题的答案：	-541217
第1139题的答案：	-488130
第1140题的答案：	1416
第1141题的答案：	2'79/120
第1142题的答案：	269'128/167
第1143题的答案：	711719424
第1144题的答案：	420853
第1145题的答案：	837'46/113
第1146题的答案：	986
第1147题的答案：	1621
第1148题的答案：	-115982
第1149题的答案：	-37312
第1150题的答案：	615'511/605
第1151题的答案：	735
第1152题的答案：	424'89/400
